412351.27,4265831.13,2173.47,76,85,102
412350.82,4265831.37,2173.44,75,84,101
412350.92,4265832.41,2173.42,86,95,112
412349.77,4265831.84,2173.48,76,85,102
412348.63,4265831.27,2173.51,77,86,103
412348.86,4265831.83,2173.44,77,86,103
412350.03,4265832.41,2173.44,75,84,101
412351.18,4265832.98,2173.40,81,90,105
412351.34,4265833.99,2173.40,84,93,108
412350.17,4265833.42,2173.40,82,91,106
412349.01,4265832.84,2173.44,74,83,98
412348.98,4265833.32,2173.42,76,85,100
412350.15,4265833.88,2173.40,83,92,107
412351.31,4265834.46,2173.38,82,91,106
412351.52,4265835.52,2173.34,6,16,28
412350.37,4265834.96,2173.38,12,21,36
412349.22,4265834.38,2173.42,78,87,102
412348.08,4265833.83,2173.46,70,79,94
412348.88,4265834.71,2173.42,63,72,87
412350.04,4265835.29,2173.36,7,17,29
412351.20,4265835.86,2173.32,6,16,28
412351.60,4265836.96,2173.60,60,88,74
412350.41,4265836.40,2173.42,12,39,30
412349.25,4265835.82,2173.50,8,18,30
412348.09,4265835.25,2173.48,90,100,112
412351.63,4265838.49,2173.44,83,124,80
412351.43,4265839.95,2173.42,77,124,69
412350.22,4265839.90,2173.49,50,94,45
412350.93,4265841.17,2173.42,65,103,64
412349.78,4265840.62,2173.44,51,92,50
412349.52,4265841.08,2173.42,81,119,82
412350.66,4265841.63,2173.42,59,92,63
412351.58,4265843.12,2173.38,3,26,18
412350.43,4265842.55,2173.38,27,51,35
412349.26,4265841.99,2173.40,92,120,97
412348.11,4265841.42,2173.44,56,85,63
412348.73,4265842.33,2173.40,94,117,99
412349.86,4265842.88,2173.38,17,41,25
412351.01,4265843.45,2173.35,10,22,34
412351.12,4265844.52,2173.36,4,17,33
412349.96,4265843.95,2173.36,5,17,29
412348.81,4265843.38,2173.38,7,28,13
412348.06,4265843.65,2173.38,3,13,22
412349.22,4265844.21,2173.36,7,17,27
412350.39,4265844.78,2173.36,4,16,30
412349.50,4265845.31,2173.36,3,16,32
412349.71,4265846.00,2173.35,4,20,33
412351.39,4265847.84,2173.38,43,66,56
412350.23,4265847.28,2173.38,26,49,43
412349.07,4265846.71,2173.36,8,28,29
412348.99,4265847.31,2173.36,32,55,49
412350.16,4265847.87,2173.38,31,57,44
412351.33,4265848.44,2173.40,44,71,56
412350.88,4265849.13,2173.40,39,68,50
412349.73,4265848.57,2173.40,37,66,46
412348.55,4265848.00,2173.38,35,62,47
412348.21,4265848.45,2173.38,33,62,42
412349.38,4265849.00,2173.40,35,64,44
412350.54,4265849.58,2173.42,36,67,51
412351.36,4265851.03,2173.48,42,65,49
412350.21,4265850.48,2173.46,31,61,49
412349.04,4265849.92,2173.40,34,65,47
412348.31,4265850.13,2173.40,29,62,45
412349.49,4265850.71,2173.46,29,61,46
412350.66,4265851.28,2173.49,44,67,51
412351.65,4265852.96,2173.53,56,80,66
412350.50,4265852.42,2173.53,41,64,48
412349.33,4265851.86,2173.50,32,55,39
412348.17,4265851.30,2173.48,34,57,41
412348.38,4265852.03,2173.50,36,59,43
412349.55,4265852.59,2173.51,37,60,44
412350.70,4265853.15,2173.54,46,70,56
412350.73,4265854.25,2173.59,39,63,49
412349.58,4265853.71,2173.58,48,72,58
412348.43,4265853.15,2173.56,42,66,52
412348.47,4265853.87,2173.58,43,67,53
412349.63,4265854.42,2173.60,46,70,56
412350.79,4265855.00,2173.59,42,66,53
412351.07,4265856.15,2173.63,34,60,47
412349.92,4265855.59,2173.65,36,62,49
412348.77,4265855.05,2173.63,43,67,54
412349.71,4265856.13,2173.65,36,62,49
412350.86,4265856.67,2173.65,36,62,49
412349.81,4265859.70,2176.65,89,104,107
412350.96,4265860.25,2176.58,106,117,119
412350.84,4265861.50,2176.98,102,109,117
412349.68,4265860.95,2177.00,103,111,122
412348.54,4265860.40,2177.04,109,119,131
412348.79,4265861.19,2177.22,107,113,129
412349.95,4265861.75,2177.17,102,105,120
412351.11,4265862.32,2177.15,107,109,122
412351.07,4265863.59,2177.52,109,111,126
412349.91,4265863.03,2177.55,112,114,129
412348.75,4265862.46,2177.60,106,107,125
412348.91,4265863.24,2177.77,108,109,127
412350.06,4265863.79,2177.74,110,112,127
412351.21,4265864.34,2177.71,109,112,127
412351.60,4265865.90,2178.09,107,109,124
412350.45,4265865.34,2178.13,102,108,120
412349.30,4265864.79,2178.17,106,110,122
412349.10,4265865.38,2178.19,100,107,117
412350.26,4265865.92,2178.22,103,105,120
412351.44,4265866.50,2178.23,109,111,126
412351.49,4265867.96,2177.88,98,100,115
412350.33,4265867.42,2177.84,97,99,114
412349.19,4265866.87,2177.79,98,100,115
412349.21,4265867.65,2177.57,98,100,115
412350.38,4265868.21,2177.58,99,101,116
412351.56,4265868.77,2177.65,94,96,111
412351.21,4265869.98,2177.29,93,95,110
412350.05,4265869.42,2177.24,96,98,113
412348.86,4265868.86,2177.19,99,101,116
412349.44,4265869.92,2176.97,98,100,115
412350.59,4265870.46,2177.01,96,98,113
412350.90,4265876.48,2173.61,49,68,66
412349.76,4265875.92,2173.65,43,64,59
412348.60,4265876.17,2173.61,40,66,55
412349.75,4265876.73,2173.57,41,67,56
412350.90,4265877.28,2173.56,42,63,56
412350.79,4265878.55,2173.44,49,72,62
412349.65,4265878.00,2173.48,43,69,56
412348.48,4265877.44,2173.51,44,72,57
412348.41,4265878.13,2173.44,44,72,57
412349.58,4265878.71,2173.40,42,68,55
412350.74,4265879.27,2173.35,46,69,59
412350.99,4265880.71,2173.26,49,70,61
412349.84,4265880.16,2173.30,44,65,56
412348.69,4265879.61,2173.34,46,67,58
412349.51,4265880.65,2173.26,50,71,62
412350.68,4265881.21,2173.22,49,69,60
412351.34,4265882.74,2173.15,45,66,57
412350.19,4265882.19,2173.17,48,68,59
412349.02,4265881.63,2173.19,48,68,59
412348.69,4265882.16,2173.17,45,65,56
412349.87,4265882.71,2173.15,48,69,60
412351.04,4265883.29,2173.13,43,64,55
412350.60,4265884.36,2173.11,57,78,69
412349.44,4265883.80,2173.13,49,70,61
