X,Y,Z,Red,Green,Blue
412441.42166,4265863.22883,2170.04494,198,204,200
412446.50880,4265863.54531,2169.74046,22,16,16
412441.85433,4265863.27435,2170.00536,208,214,212
412445.98957,4265863.52500,2169.71935,48,39,40
412445.56954,4265863.50795,2169.71915,40,30,28
412444.88737,4265863.45760,2169.71671,46,38,36
412446.49122,4265863.57307,2169.40878,33,28,25
412444.20337,4265863.41256,2169.55372,74,57,50
412442.20274,4265863.26300,2169.58007,66,57,52
412442.75039,4265863.31023,2169.33949,153,149,138
412442.63553,4265863.28336,2169.32135,56,45,39
412441.21608,4265863.20251,2169.48127,200,188,176
412441.40204,4265862.99964,2169.48446,57,48,41
412440.41363,4265863.11317,2169.57802,150,131,116
412439.89421,4265862.97347,2169.65512,138,124,111
412441.44616,4265862.94628,2169.45023,140,115,95
412441.44387,4265862.93986,2169.45360,156,129,110
412439.77244,4265863.05227,2169.63443,146,130,114
412439.70131,4265862.93576,2169.65538,146,130,114
412444.00497,4265863.35068,2169.02108,161,153,140
412439.60733,4265863.04083,2169.62301,151,134,118
412443.73819,4265863.04982,2169.04258,41,16,12
412442.75717,4265863.30552,2169.58314,42,33,28
412441.27679,4265863.20843,2169.35702,172,163,154
412439.76708,4265862.97744,2169.58744,147,151,137
412440.46923,4265863.13302,2169.47143,161,159,147
412440.51914,4265863.07743,2169.43994,168,169,163
412443.11995,4265863.32854,2169.50052,169,160,145
412439.90426,4265863.05735,2169.50804,57,44,35
412443.84382,4265863.33338,2168.88416,144,132,120
412442.78523,4265863.29162,2169.45167,161,147,134
412440.09796,4265863.03113,2169.43481,119,103,87
412442.72459,4265863.23176,2169.01535,133,114,100
412442.36876,4265863.28228,2169.04690,123,128,124
412442.37140,4265863.28298,2169.04342,123,128,124
412440.79267,4265863.14351,2169.29421,183,179,170
412443.67022,4265862.83050,2168.88209,113,108,102
412440.01815,4265863.03587,2169.42332,134,116,96
412440.11552,4265863.02659,2169.36023,156,144,128
412442.41007,4265863.24741,2168.93766,123,109,98
412440.04454,4265862.49695,2169.40352,83,51,26
412443.42109,4265861.41791,2168.97456,111,103,100
412439.66239,4265863.06161,2169.39064,58,48,47
412439.95627,4265863.04850,2169.34262,153,150,145
412441.65940,4265862.95539,2169.02506,177,167,155
412441.37940,4265862.99606,2169.06055,37,32,28
412443.30435,4265861.29641,2168.95034,48,41,31
412439.98061,4265862.89079,2169.23386,72,69,62
412443.51731,4265863.68267,2168.44442,130,124,92
412440.06284,4265862.93650,2169.18186,140,110,86
412441.38864,4265862.97052,2168.91823,107,101,89
412440.05145,4265862.24142,2169.25027,19,19,17
412439.61732,4265863.05290,2169.20136,68,58,48
412441.69528,4265860.90871,2168.97013,50,48,33
412440.99082,4265861.49721,2168.92627,125,120,114
412440.73444,4265861.87767,2168.90802,155,152,147
412440.55782,4265861.93780,2168.88954,163,159,150
412439.25013,4265862.29358,2169.10288,130,126,117
412440.75265,4265861.08705,2168.94781,121,114,108
412439.16437,4265862.30099,2169.10611,142,135,125
412439.27149,4265862.21174,2169.06398,110,103,95
412441.26061,4265860.39325,2168.89753,132,132,130
412440.62309,4265861.13909,2168.90533,97,89,86
412439.13275,4265862.24545,2169.06521,148,141,133
412439.54655,4265862.16360,2168.96432,128,129,124
412440.17520,4265861.39876,2168.89629,144,143,138
412439.57207,4265861.72675,2168.92089,125,126,120
412440.24985,4265861.36837,2168.80168,158,157,152
412439.33104,4265862.01565,2168.91760,97,97,97
412440.03495,4265861.22305,2168.87226,118,117,113
412440.01463,4265861.56355,2168.74825,165,169,168
412439.97805,4265861.10383,2168.82466,137,130,122
412439.06248,4265861.67439,2168.85738,119,118,116
412439.04331,4265861.49476,2168.85453,97,95,96
412439.08825,4265861.34283,2168.84496,90,90,90
412439.36377,4265861.04619,2168.80537,142,139,132
412439.28706,4265861.14658,2168.78195,141,142,137
412439.17934,4265861.13668,2168.81599,119,118,114
412439.16389,4265861.12379,2168.79436,151,156,152
412439.04660,4265861.14862,2168.80984,112,118,118
412439.22466,4265861.01654,2168.77417,118,110,107
412439.15665,4265860.98697,2168.79485,135,137,136
412439.14159,4265860.65973,2168.85713,99,91,88
412439.24721,4265860.40824,2168.86915,82,83,65
412438.63463,4265861.06202,2168.81765,127,128,132
412438.71300,4265860.68280,2168.90218,60,58,63
412441.92633,4265863.24838,2172.73467,8,9,11
412441.81701,4265863.22699,2172.42492,145,130,107
412441.06350,4265863.19902,2172.10210,203,212,211
